invoiceId,businessId,payerId,relationDays,relationRecurrence,issuerCancelledInvoices,diasActividadPagador,facturaMorosa,montoFacturaWsz,issuerInvoicesAmountWsz,Clients12MonthsWsz,payerRatioMorosidad,payerAmountFacturas,payerAvgAmountFacturas,payerAvgDiasMora,payerDesvAmount,businessRatioMororsidad,businessAvgDiasMora
0,11654,5,5015,428.0,10.166666666666666,0.021942,2632.0,1,4713103.0,187036960.0,4.0,0.4,181609529.0,4035767,2.2666666666666666,677336.0,0.0,0.0
1,13430,5,5015,455.0,9.891304347826088,0.020079,2659.0,0,7879645.0,231623853.0,4.0,0.4230769230769231,210861531.0,4055029,2.8653846153846154,3824616.0,1.0,18.0
2,15957,5,5015,493.0,9.264150943396226,0.016629,2697.0,1,1190417.0,272695026.0,4.0,0.3484848484848485,261505599.0,3962206,6.348484848484849,-2771789.0,0.5,6.0
3,18135,5,5015,542.0,9.016666666666667,0.014322,2746.0,0,189924.0,321318559.0,3.0,0.375,278112178.0,3862669,7.041666666666667,-3672745.0,0.6666666666666666,4.333333333333333
4,19438,5,5015,562.0,8.920634920634921,0.013314,2766.0,0,3755846.0,346234215.0,3.0,0.3766233766233766,297456818.0,3863075,6.181818181818182,-107229.0,0.5,3.25
5,14124,6,309,485.0,31.866666666666667,0.079821,10666.0,0,570010.0,22112741.0,12.0,0.0,0.0,0,0.0,570010.0,0.0,0.0
6,18212,6,435,596.0,16.742857142857144,0.073568,10745.0,0,569000.0,31898291.0,11.0,0.0,0.0,0,0.0,569000.0,0.0,-22.0
7,16413,7,4693,164.0,31.6,0.089815,12152.0,0,4240208.0,4240208.0,3.0,0.1428571428571428,477322404.0,6198992,-7.233766233766234,-1958784.0,0.0,0.0
8,9919,9,846,291.0,72.5,0.116647,4240.0,1,8412110.0,145026801.0,22.0,0.0,0.0,0,0.0,8412110.0,0.0,0.0
9,4346,10,3323,288.0,21.846153846153847,0.264346,837.0,0,3831800.0,8741740.0,12.0,0.0,11203347.0,2240669,-10.6,1591131.0,0.0,0.0
10,1037,11,4904,617.0,9.430769230769233,0.125516,10434.0,0,1142400.0,78111005.0,4.0,0.0,24602581.0,2460258,-3.5,-1317858.0,0.0,0.0
11,5033,11,4904,700.0,9.157894736842104,0.113018,10517.0,0,690200.0,96146645.0,4.0,0.3157894736842105,263027201.05,4614512,-1.719298245614035,-3924312.0,0.0,0.0
12,10992,11,4904,812.0,8.793478260869565,0.101891,10629.0,0,273700.0,120026732.0,6.0,0.2066115702479339,499166098.1,4125339,-1.4462809917355373,-3851639.0,0.0,-2.5
13,17015,11,4904,900.0,8.514285714285714,0.094887,10717.0,0,422450.0,135830408.0,5.0,0.1777777777777777,734265734.15,4079254,-2.5722222222222224,-3656804.0,0.0,-4.0
14,1130,12,1959,76.0,24.0,0.008553,5536.0,0,2706000.0,2706000.0,8.0,0.0,0.0,0,0.0,2706000.0,0.0,0.0
15,2659,15,1255,321.0,24.384615384615383,0.355228,5970.0,1,1198687.0,22207391.0,1.0,0.8076923076923077,54472780.0,2095106,49.5,-896419.0,0.0,0.0
16,5674,17,2712,256.0,25.5,0.262718,1300.0,1,27608000.0,131465250.0,12.0,0.0,0.0,0,0.0,27608000.0,0.0,0.0
17,9452,17,2712,318.0,26.5,0.218757,1362.0,1,11602500.0,330733725.0,13.0,1.0,27608000.0,27608000,6.0,-16005500.0,1.0,6.0
18,6733,18,4824,111.0,26.5,0.061044,10546.0,1,11322054.0,18570197.0,8.0,0.8620689655172413,206390158.0,7116902,144.27586206896552,4205152.0,0.0,0.0
19,2843,21,4829,928.0,10.847058823529412,0.023484,10497.0,0,791350.0,3608199.0,161.09999999999943,0.0,31912084.0,6382416,-14.6,-5591066.0,0.0,0.0
20,16553,21,4829,1131.0,10.875,0.022533,10700.0,0,2281825.0,30649247.0,161.09999999999943,0.1081081081081081,337803208.1,9129816,-10.37837837837838,-6847991.0,0.0,-13.0
21,727,23,4909,193.0,6.129032258064516,0.140769,10421.0,0,259996.0,1039984.0,52.0,0.0,0.0,0,0.0,259996.0,0.0,0.0
22,14847,25,5292,199.0,17.818181818181817,0.0,8547.0,1,2679675.0,2679675.0,8.0,1.0,4416090.0,2208045,22.0,471630.0,0.0,0.0
23,616,26,5141,196.0,27.857142857142858,0.193219,10420.0,0,612850.0,10449390.0,14.0,0.0,0.0,0,0.0,612850.0,0.0,0.0
24,7521,28,1255,229.0,6.333333333333333,0.015098,6058.0,0,114169.0,13402668.0,161.09999999999943,0.7619047619047619,103074469.0,2454154,38.023809523809526,-2339985.0,0.0,0.0
25,642,31,4735,337.0,30.63636363636364,0.084724,10420.0,1,2700000.0,18720000.0,1.0,0.0,1261400.0,1261400,-4.0,1438600.0,0.0,0.0
26,4765,31,4735,423.0,30.214285714285715,0.067244,10506.0,0,2700000.0,26820000.0,1.0,0.5,5308242.0,1327060,2.5,1372940.0,1.0,3.0
27,19402,31,4735,674.0,29.30434782608696,0.042377,10757.0,0,2900000.0,49858000.0,3.0,0.1428571428571428,44868955.0,3204925,-7.214285714285714,-304925.0,0.5,1.5
28,288,32,1067,692.0,40.64705882352941,0.063681,6088.0,0,1511300.0,115889580.0,2.0,0.0,0.0,0,0.0,1511300.0,0.0,0.0
29,1259,32,1067,715.0,37.63157894736842,0.059153,6111.0,0,3694117.0,139931900.0,2.0,0.0,1511300.0,1511300,-42.0,2182817.0,0.0,-42.0
30,8976,32,1067,860.0,35.791666666666664,0.119382,6256.0,0,1547000.0,201119339.0,2.0,0.1666666666666666,67536311.04999998,11256051,-29.666666666666668,-9709051.0,0.0,-34.5
31,17624,32,1067,1002.0,33.36666666666667,0.0803,6398.0,0,1190000.0,345578437.0,2.0,0.1,89375093.04999998,8937509,-32.2,-7747509.0,0.0,-27.666666666666668
32,19548,32,1067,1042.0,29.742857142857144,0.075278,6438.0,0,2707845.0,372602861.0,1.0,0.0909090909090909,90565093.04999998,8233190,-31.727272727272727,-5525345.0,0.0,-27.5
33,15359,37,706,391.0,62.16666666666666,0.0,4900.0,1,452200.0,8603700.0,12.0,0.0,0.0,0,0.0,452200.0,0.0,0.0
34,2772,38,4773,686.0,12.232142857142858,0.055475,10469.0,0,440300.0,108679130.0,3.0,0.4545454545454545,32264785.0,2933162,0.1818181818181818,-2492862.0,0.0,0.0
35,2945,38,4773,689.0,11.677966101694915,0.053896,10472.0,0,856800.0,112653730.0,3.0,0.3846153846153846,33548019.0,2580616,0.0,-1723816.0,0.0,0.0
36,4282,38,4773,717.0,11.203125,0.050638,10500.0,1,416500.0,128909130.0,3.0,0.3333333333333333,35311718.0,2354114,-0.8,-1937614.0,0.0,-2.5
37,7882,38,4773,779.0,10.95774647887324,0.046378,10562.0,0,95200.0,156526412.0,3.0,0.3478260869565217,85949440.0,3736932,-1.7826086956521738,-3641732.0,0.3333333333333333,-1.3333333333333333
38,9790,38,4773,811.0,10.671052631578949,0.048009,10594.0,0,18672290.0,196460908.0,3.0,0.2758620689655172,97195574.0,3351571,-2.793103448275862,15320719.0,0.25,-2.75
39,18837,38,4773,965.0,10.571428571428571,0.03696,10748.0,1,452200.0,246106518.0,6.0,0.2142857142857142,245551025.1,4384839,0.2142857142857142,-3932639.0,0.2,-3.2
40,19649,38,4773,983.0,10.548387096774194,0.036143,10766.0,0,416500.0,254079518.0,6.0,0.2333333333333333,250179411.1,4169656,0.0666666666666666,-3753156.0,0.3333333333333333,-2.5
41,5634,39,798,29.0,26.0,0.164034,4341.0,1,9542610.0,14691740.0,8.0,0.0,0.0,0,0.0,9542610.0,0.0,0.0
42,10122,39,4976,0.0,80.0,0.153181,10597.0,0,3799908.0,18491648.0,11.0,0.0,0.0,0,0.0,3799908.0,1.0,48.0
43,4302,40,1995,58.0,28.5,0.081006,1991.0,1,5503750.0,11810750.0,18.0,0.0,0.0,0,0.0,5503750.0,0.0,0.0
44,3017,42,4760,750.0,9.545454545454543,0.203763,10490.0,0,392700.0,112090309.0,80.0,0.1,127548516.0,6377425,3.7,-5984725.0,0.0,0.0
45,10966,42,4760,875.0,10.50602409638554,0.177765,10615.0,0,2053948.0,142869514.0,78.0,0.0465116279069767,383507418.1,8918777,1.6511627906976745,-6864829.0,0.0,0.0
46,13109,43,505,78.0,26.0,0.0,365.0,1,30178876.0,30178876.0,8.0,0.0,0.0,0,0.0,30178876.0,0.0,0.0
47,8214,44,4760,858.0,30.642857142857142,0.033457,10566.0,0,1951874.0,54147589.0,2.0,0.0555555555555555,359830771.1,9995299,2.055555555555556,-8043425.0,0.0,0.0
48,13428,44,4760,943.0,26.942857142857143,0.030602,10651.0,0,612224.0,65496524.0,3.0,0.0638297872340425,390208673.1,8302312,1.553191489361702,-7690088.0,0.0,-3.0
49,9157,46,5073,267.0,66.75,0.0,10581.0,0,1739304.0,6957216.0,5.0,0.2,39053420.0,7810684,-19.6,-6071380.0,0.0,0.0
50,5338,47,4883,158.0,17.444444444444443,0.0,10519.0,0,214200.0,16020911.0,1.0,1.0,1476790.0,1476790,2.0,-1262590.0,0.0,0.0
51,9595,47,4883,228.0,13.411764705882351,0.0,10589.0,0,142800.0,33021251.0,1.0,0.3333333333333333,3996578.0,1332192,-9.666666666666666,-1189392.0,0.0,-27.0
52,13851,47,4883,293.0,15.421052631578949,0.0,10654.0,0,1059100.0,35942701.0,1.0,0.2,6709778.0,1341955,-14.8,-282855.0,0.0,-29.0
53,16079,49,4760,208.0,8.625,0.0,10687.0,0,1998605.0,31260527.0,2.0,0.109090909090909,406555724.1,7391922,2.018181818181818,-5393317.0,0.0,0.0
54,393,50,1255,84.0,26.0,0.0,5915.0,1,1428208.0,2856202.0,1.0,1.0,9211806.0,2302951,58.0,-874743.0,0.0,0.0
55,1804,50,1255,118.0,23.0,0.0,5949.0,0,1428000.0,5712202.0,1.0,0.8333333333333334,47251232.0,1968801,49.29166666666666,-540801.0,1.0,17.0
56,4842,53,4603,621.0,15.923076923076923,0.02765,9092.0,0,339150.0,23287632.0,44.0,0.7142857142857143,92617957.04999998,13231136,17.285714285714285,-12891986.0,0.0,0.0
57,13420,59,5015,373.0,14.038461538461538,0.05532,2666.0,0,5259800.0,27660063.0,14.0,0.4074074074074074,222029146.0,4111650,2.6481481481481484,1148150.0,0.0,0.0
58,8741,62,5392,378.0,28.0,0.0,6788.0,1,43578160.04999998,164317427.0,2.0,0.8823529411764706,133541127.04999998,7855360,18.47058823529412,35722800.04999998,0.0,0.0
59,13347,66,5045,607.0,27.61904761904762,0.0,10650.0,1,8844080.0,19127465.0,2.0,1.0,29182077.0,29182077,97.0,-20337997.0,0.0,0.0
60,18649,69,5405,485.0,12.435897435897436,0.027706,6753.0,0,749700.0,1845753.0,1.0,0.0,1593935.0,796967,0.0,-47267.0,0.0,0.0
61,16578,72,5297,462.0,6.22972972972973,0.016479,8326.0,0,1374450.0,22491000.0,25.0,0.0,108875873.0,5730309,0.0,-4355859.0,0.0,0.0
